pasta;tube_1;cap_1;material_1;color_1;color_2;rating
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;5
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta04;0;1;0;0;1;4
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;3
pasta05;0;0;0;1;0;4
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;10
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;3
pasta05;0;0;0;1;0;4
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;10
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;3
pasta05;0;0;0;1;0;4
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;10
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta05;0;0;0;1;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;4
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;9
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;4
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;9
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;4
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;9
pasta06;0;0;1;0;0;5
pasta06;0;0;1;0;0;5
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;5
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;5
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;5
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta07;0;1;1;1;0;4
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;10
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;10
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;10
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
pasta08;1;0;0;1;0;3
